whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct
https://www.whisky.com/whisky-database/details/laphroaig-triple-wood-new-casing.html,Laphroaig,,,Triple Wood,- 48%
https://www.whisky.com/whisky-database/details/aberlour-select-cask-reserve-1.html,Aberlour,15Y,,Select Cask Reserve,- 43%
https://www.whisky.com/whisky-database/details/knockando-master-reserve-5.html,Knockando,21Y,,Master Reserve,- 43%
https://www.whisky.com/whisky-database/details/tullibardine-45.html,Tullibardine,15Y,,,- 43%
https://www.whisky.com/whisky-database/details/tullibardine-tullibardine-2.html,Tullibardine,15Y,,,- 43%
https://www.whisky.com/whisky-database/details/talisker-storm-new-design.html,Talisker,,,Storm - new Design,- 45.8%
https://www.whisky.com/whisky-database/details/laphroaig-select.html,Laphroaig,,,Select,- 40%
https://www.whisky.com/whisky-database/details/laphroaig-laphroaig-select.html,Laphroaig,,,Select,- 40%
https://www.whisky.com/whisky-database/details/benriach-sherry.html,Benriach,12Y,,Sherry,- 46%
https://www.whisky.com/whisky-database/details/jack-daniels-gentleman-jack.html,Jack Daniel‘s,,,Gentleman Jack,- 40%
https://www.whisky.com/whisky-database/details/bruichladdich-bruichladdich-the-classic-laddie-1.html,Bruichladdich,,,Bruichladdich The Classic Laddie,- 50%
https://www.whisky.com/whisky-database/details/bruichladdich-scottish-barley.html,Bruichladdich,,,Scottish Barley,- 50%
https://www.whisky.com/whisky-database/details/bruichladdich-bruichladdich-the-classic-laddie-2.html,Bruichladdich,,,The Classic Laddie,- 50%
https://www.whisky.com/whisky-database/details/bruichladdich-the-classic-laddie-with-2-glasses-b-ware.html,Bruichladdich,,,The Classic Laddie mit 2 Gläsern,- 50%
https://www.whisky.com/whisky-database/details/samples-from-jason-div-samples-jason-3-lieferung-bis-240918.html,,,,Samples von Jason - Div. Samples Jason 3. Lieferung bis 24.09.18,- 40%
https://www.whisky.com/whisky-database/details/caol-ila-1.html,Caol Ila,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/macallan-99.html,Macallan,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/four-roses-single-barrel-100-proof.html,Four Roses,,,Single Barrel 100 Proof,- 50%
https://www.whisky.com/whisky-database/details/four-roses-four-roses-single-barrel-100-proof.html,Four Roses,,,Single Barrel 100 Proof,- 50%
https://www.whisky.com/whisky-database/details/laphroaig-lore.html,Laphroaig,,,Lore,- 48%
https://www.whisky.com/whisky-database/details/laphroaig-laphroaig-lore.html,Laphroaig,,,Lore,- 48%
https://www.whisky.com/whisky-database/details/glenmorangie-extremely-rare-old-bottling.html,Glenmorangie,18Y,,Extremely Rare (old bottling),- 43%
https://www.whisky.com/whisky-database/details/glenmorangie-extremely-rare-limited-edition.html,Glenmorangie,18Y,,Extremely Rare - Limited Edition,- 43%
